,District,ASER
0,ARARIA,17.82
1,ARWAL,4.22
2,AURANGABAD (BIHAR),8.66
3,BANKA,15.639999999999999
4,BEGUSARAI,8.48
5,BHAGALPUR,11.76
6,BHOJPUR,9.71
7,BUXAR,8.26
8,DARBHANGA,12.52
9,GAYA,10.79
10,GOPALGANJ,6.92
11,JAMUI,7.0600000000000005
12,JEHANABAD,11.78
13,KAIMUR (BHABUA),7.28
14,KATIHAR,14.379999999999999
15,KHAGARIA,7.09
16,KISHANGANJ,8.74
17,LAKHISARAI,9.51
18,MADHEPURA,15.26
19,MADHUBANI,10.86
20,MUNGER,8.39
21,MUZAFFARPUR,9.07
22,NALANDA,12.370000000000001
23,NAWADA,10.309999999999999
24,PASHCHIM CHAMPARAN,11.61
25,PATNA,11.969999999999999
26,PURBA CHAMPARAN,11.73
27,PURNIA,13.75
28,ROHTAS,4.63
29,SAHARSA,10.96
30,SAMASTIPUR,8.0
31,SARAN,7.83
32,SHEIKHPURA,12.58
33,SHEOHAR,10.26
34,SITAMARHI,12.8
35,SIWAN,5.550000000000001
36,SUPAUL,13.18
37,VAISHALI,7.49
38,AGAR MALWA,6.01
39,ALIRAJPUR,42.209999999999994
40,ANUPPUR,6.34
41,ASHOKNAGAR,9.66
42,BALAGHAT,2.48
43,BARWANI,29.84
44,BETUL,8.45
45,BHIND,8.469999999999999
46,BHOPAL,5.47
47,BURHANPUR,12.26
48,CHHATARPUR,11.629999999999999
49,CHHINDWARA,2.66
50,DAMOH,3.95
51,DATIA,6.41
52,DEWAS,4.73
53,DHAR,12.68
54,DINDORI,6.43
55,GUNA,10.59
56,GWALIOR,8.030000000000001
57,HARDA,7.37
58,HOSHANGABAD,4.22
59,INDORE,6.94
60,JABALPUR,5.51
61,JHABUA,23.34
62,KATNI,5.49
63,KHANDWA,6.37
64,KHARGONE,12.23
65,MANDLA,5.95
66,MANDSAUR,3.7199999999999998
67,MORENA,10.86
68,NARSIMHAPUR,3.6
69,NEEMUCH,3.2800000000000002
70,PANNA,6.0
71,RAISEN,5.51
72,RAJGARH,6.95
73,RATLAM,5.59
74,REWA,5.28
75,SAGAR,2.7399999999999998
76,SATNA,6.12
77,SEHORE,3.59
78,SEONI,4.12
79,SHAHDOL,6.85
80,SHAJAPUR,6.01
81,SHEOPUR,12.280000000000001
82,SHIVPURI,7.069999999999999
83,SIDHI,3.9800000000000004
84,SINGRAULI,6.54
85,TIKAMGARH,14.760000000000002
86,UJJAIN,4.029999999999999
87,UMARIA,5.72
88,VIDISHA,8.36
89,AJMER,4.65
90,ALWAR,6.37
91,BANSWARA,4.24
92,BARAN,7.29
93,BARMER,21.33
94,BHARATPUR,6.31
95,BHILWARA,9.26
96,BIKANER,10.07
97,BUNDI,4.9399999999999995
98,CHITTOR,5.71
99,CHURU,3.65
100,DAUSA,2.54
101,DHAULPUR,6.18
102,DUNGARPUR,10.77
103,GANGANAGAR,4.050000000000001
104,HANUMANGARH,1.76
105,JAIPUR,3.2199999999999998
106,JAISALMER,15.63
107,JALOR,11.63
108,JHALAWAR,4.88
109,JHUNJHUNUN,1.4300000000000002
110,JODHPUR,7.97
111,KARAULI,7.08
112,KOTA,6.800000000000001
113,NAGAUR,3.7299999999999995
114,PALI,4.68
115,PRATAPGARH (RAJ.),17.26
116,RAJSAMAND,7.879999999999999
117,SAWAI MADHOPUR,5.1000000000000005
118,SIKAR,4.37
119,SIROHI,11.51
120,TONK,2.32
121,UDAIPUR,11.02
122,AGRA,5.0
123,ALIGARH,6.109999999999999
124,ALLAHABAD,3.8400000000000003
125,AMBEDKAR NAGAR,2.98
126,AMETHI - CSM NAGAR,7.066
127,AURAIYA,7.37
128,AZAMGARH,2.41
129,BAGHPAT,8.88
130,BAHRAICH,18.71
131,BALLIA,3.5
132,BALRAMPUR,12.62
133,BANDA,13.31
134,BARABANKI,9.2
135,BAREILLY,15.86
136,BASTI,2.52
137,BHADOI,6.42
138,BIJNOR,7.35
139,BUDAUN,25.759999999999998
140,BULANDSHAHR,5.29
141,CHANDAULI,7.890000000000001
142,CHITRAKOOT,6.03
143,DEORIA,4.76
144,ETAH,8.36
145,ETAWAH,5.41
146,FAIZABAD,2.71
147,FARRUKHABAD,10.030000000000001
148,FATEHPUR,8.91
149,FIROZABAD,9.129999999999999
150,GAUTAM BUDDHA NAGAR,5.489999999999999
151,GHAZIABAD,3.8299999999999996
152,GHAZIPUR,1.46
153,GONDA,10.07
154,GORAKHPUR,2.73
155,HAMIRPUR (U.P.),7.5
156,HAPUR (PANCHSHEEL NAGAR),3.8299999999999996
157,HARDOI,9.719999999999999
158,HATHRAS,11.05
159,JALAUN,5.72
160,JAUNPUR,4.109999999999999
161,JHANSI,5.12
162,JYOTIBA PHULE NAGAR,9.72
163,KANNAUJ,8.87
164,KANPUR DEHAT,8.43
165,KANPUR NAGAR,8.372326530612245
166,KANSHIRAM NAGAR,15.44
167,KAUSHAMBI,10.620000000000001
168,KHERI,10.45
169,KUSHINAGAR,3.84
170,LALITPUR,8.309999999999999
171,LUCKNOW,6.02
172,MAHARAJGANJ,5.970000000000001
173,MAHOBA,6.04
174,MAINPURI,5.59
175,MATHURA,5.99
176,MAU,2.7600000000000002
