,VillageCode,District_D2D,District,State,Block,Village,pincode_DISE,is_duplicate,D2D_year,oos_g_5to14
0,234901001,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,RAMPURA,457990,False,2017,21.0
1,234901003,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,DEGAON,457990,False,2017,18.0
2,234901004,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,DEHDALA,457990,False,2017,39.0
3,234901005,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,BHILKHEDI,457990,False,2017,57.0
4,234901006,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,SEMALDA,457990,False,2017,7.0
5,234901007,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,BAHEDIYA,457990,False,2017,49.0
6,234901009,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,CHUNSHIYA,457990,False,2017,45.0
7,234901010,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,SEVARIYA,457009,False,2017,20.0
8,234901011,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,BETVASA,457990,False,2017,18.0
9,234901013,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,BALERI,457990,False,2017,89.0
10,234901014,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,KANDA,457990,False,2017,63.0
11,234901016,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,JALI,457990,False,2017,34.0
12,234901017,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,UNDARI,457990,False,2017,216.0
13,234901018,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,NEHTARA,457990,False,2017,54.0
14,234901019,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,VAGDI,457990,False,2017,16.0
15,234901021,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,HARDASPUR,457990,False,2017,10.0
16,234901022,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,JAMERI (M F),457990,False,2017,30.0
17,234901023,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,DEKAKUND,457990,False,2017,15.0
18,234901024,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,BHANPUR,457990,False,2017,12.0
19,234901025,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,KHERWA,457990,False,2017,26.0
20,234901026,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,KALIKHETAR,457990,False,2017,24.0
21,234901027,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,UMDA,457990,False,2017,44.0
22,234901028,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,CHOTAGUDA,457990,False,2017,22.0
23,234901029,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,KASBAJOBAT,457990,False,2017,5.0
24,234901031,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,JESNGHPUR,457990,False,2017,21.0
25,234901032,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,DABARI,457990,False,2017,51.0
26,234901033,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,BANJHA BAYARA,457990,False,2017,30.0
27,234901034,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,UBLAD,457990,False,2017,75.0
28,234901035,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,KILA JOBAT,457990,False,2017,81.0
29,234901036,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,UBGARY,457990,False,2017,18.0
30,234901037,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,BADI HEERAPUR,457990,False,2017,32.0
31,234901038,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,SIDDHGAON,457990,False,2017,23.0
32,234901039,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,SEMLAYA,457990,False,2017,12.0
33,234901040,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,BALADMOONG,457990,False,2017,54.0
34,234901041,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,CHHOTI KHAHALI,457990,False,2017,23.0
35,234901042,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,SINDHI (P K),457990,False,2017,50.0
36,234901043,ALIRAJPUR,ALIRAJPUR,MADHYA PRADESH,JOBAT,SALKHERA,457990,False,2017,30.0
