"","District","Block","Village","mean","upper","lower"
"V1_1","UDAIPUR","GOGUNDA","BHANPURA",43.4353476257523,31.9696951053955,58.6575882824069
"V2_1","UDAIPUR","GOGUNDA","KAMBA",31.3802924407311,23.2983448647074,39.7517080177503
"V3_1","UDAIPUR","GOGUNDA","BAGAR",30.1980095254286,24.0977150366046,41.0992620949574
"V4_1","UDAIPUR","GOGUNDA","SAIRA",39.568153606019,25.2705192065629,53.3794929256967
"V5_1","UDAIPUR","GOGUNDA","DIYAN",16.5088879933967,13.361998691555,31.0902547246133
"V6_1","UDAIPUR","GOGUNDA","NIKOR",34.089874983526,27.4306086406932,48.3654330368691
"V7_1","UDAIPUR","GOGUNDA","KOBIYA",32.6548228068354,24.4822673660229,43.434342482298
"V8_1","UDAIPUR","GOGUNDA","BRAMANO KA KALWANA",31.6894158288041,24.1895621565676,42.5018334061428
"V9_1","UDAIPUR","GOGUNDA","GHAYPHAL",30.7793142795458,24.6058199918843,45.8286256025261
"V10_1","UDAIPUR","GOGUNDA","KUNDVO KA GURA",16.8725744679347,9.91669857010068,32.1420548341795
"V11_1","UDAIPUR","GOGUNDA","PALASMA",36.3314700099504,28.2874688493246,46.6324198337237
"V12_1","UDAIPUR","GOGUNDA","GANAWAL",47.7871220117502,36.1962624883297,66.6577028075696
"V13_1","UDAIPUR","GOGUNDA","SINGRA",18.8411041589816,7.51263995860707,42.3624983313767
"V14_1","UDAIPUR","GOGUNDA","MAGGA",26.6998896804749,19.4729522474275,34.7487180111795
"V15_1","UDAIPUR","GOGUNDA","JORMA",31.4045124120441,25.2855041963653,41.081682037911
"V16_1","UDAIPUR","GOGUNDA","BATARI",19.0114952886528,13.0734245855493,28.3904452314333
"V17_1","UDAIPUR","GOGUNDA","SEMAD",50.4390237000985,43.3535367542349,69.2645725460645
"V18_1","UDAIPUR","GOGUNDA","JEMALI",18.5818691498781,3.35920608945875,28.7533067154193
"V19_1","UDAIPUR","GOGUNDA","MADAR1",17.2909031711385,8.91435355615499,23.3297250289694
"V20_1","UDAIPUR","GOGUNDA","KANGI KA GURA",9.13705697750679,0.918720665020342,16.683240022655
"V21_1","UDAIPUR","GOGUNDA","PADARADA",63.8721407183749,46.4914100358417,74.1490298630009
"V22_1","UDAIPUR","GOGUNDA","SAMAL",42.7908158189323,31.9864248705187,52.0026760954591
"V23_1","UDAIPUR","GOGUNDA","KAMOL",54.6606112386562,41.76754607031,68.8585404581591
"V24_1","UDAIPUR","GOGUNDA","BORAWALI MADARI",29.6784005380151,21.5685702195685,37.4813843732114
"V25_1","UDAIPUR","GOGUNDA","BOKHADA",149.876676316274,134.134559050429,187.563264844707
"V26_1","UDAIPUR","GOGUNDA","BARAWALI",36.7871278536006,30.0607321256158,46.2519485548209
"V27_1","UDAIPUR","GOGUNDA","PABA",16.901533210341,8.72743561553799,27.0382546481492
"V28_1","UDAIPUR","GOGUNDA","HAYALA",29.5590870298338,21.9696173381886,37.3723319326474
"V29_1","UDAIPUR","GOGUNDA","DEVSTHAN MADARI",13.9191361469643,6.24980776562973,23.0120164252601
"V30_1","UDAIPUR","GOGUNDA","RAWACH",112.710148216266,99.4936113179647,136.645886831617
"V31_1","UDAIPUR","GOGUNDA","KUNDLAWAS",30.8907151419847,23.0798414922832,40.9705718518131
"V32_1","UDAIPUR","GOGUNDA","CHIRTAWAS",99.438478103145,88.2053361379674,140.025256209405
"V33_1","UDAIPUR","GOGUNDA","PEPERNA",41.9932739003485,32.7404165120674,54.6255623244139
"V34_1","UDAIPUR","GOGUNDA","PALA",38.0572716878202,32.3550146027035,49.6229441105155
"V35_1","UDAIPUR","GOGUNDA","RICHWADA",39.9121075751785,37.3460262349023,54.8901969846543
"V36_1","UDAIPUR","GOGUNDA","KADECH",45.6216493594982,37.6120559428173,55.6585671232058
"V37_1","UDAIPUR","GOGUNDA","SUVAWATO KA GURA",11.0657214664091,-5.66410641473839,15.5085330673352
"V38_1","UDAIPUR","GOGUNDA","PANARIYI KI BHAGAL",0.265102840245554,-12.8197388194633,5.39346375424197
"V39_1","UDAIPUR","GOGUNDA","MANDAVA",5.20868250211827,-0.588321406260415,18.7351924109404
"V40_1","UDAIPUR","GOGUNDA","KUMHARWAS",9.61878468945551,3.55855321299039,20.3084319248233
"V41_1","UDAIPUR","GOGUNDA","NARON KA GURA",32.2793450645505,19.304971371295,38.1744210950726
"V42_1","UDAIPUR","GOGUNDA","LEYAOU",6.65990958817306,0.24554502680836,15.5556541542854
"V43_1","UDAIPUR","GOGUNDA","PUNAVALI",35.9332194649222,24.166739611484,46.5649269844577
"V44_1","UDAIPUR","GOGUNDA","PALIDANA",34.587740964109,26.2767494704433,42.6651355328303
"V45_1","UDAIPUR","GOGUNDA","BAGUNI",24.7805225685112,15.8125581956983,32.414074347905
"V46_1","UDAIPUR","GOGUNDA","TARPAL",37.6233913071669,26.4985971284132,50.7668531832088
"V47_1","UDAIPUR","GOGUNDA","NANGA JI KA GURA",9.73834310665196,2.9737709988156,16.6161080883573
"V48_1","UDAIPUR","GOGUNDA","KAGATI",3.9382013416123,-2.61085980476239,14.6442846547137
"V49_1","UDAIPUR","GOGUNDA","JADOLI",15.2925584424477,14.4609989522999,27.0906271853524
"V50_1","UDAIPUR","GOGUNDA","BHAT MADRA",18.2549748089784,16.0406729857962,31.6343473122129
"V51_1","UDAIPUR","GOGUNDA","SUTHAR MADRA",6.68120614206647,2.40838686336429,12.8869276558322
"V52_1","UDAIPUR","GOGUNDA","RANAWATON KA GURA",14.7586424448459,11.1052065075335,26.9280224624092
"V53_1","UDAIPUR","GOGUNDA","JELANI",21.115308930322,18.5959056093841,30.4204647532865
"V54_1","UDAIPUR","GOGUNDA","JHALO KA KALWANA",27.5576110168766,21.3548514074424,37.0204358888293
"V55_1","UDAIPUR","GOGUNDA","JASWANT GARH",27.9012579276129,8.69958249820865,38.385336635704
"V56_1","UDAIPUR","GOGUNDA","GAHLOTO KA GURA",7.44634177343062,0.175586659916675,11.4937872739992
